Code,Lon,Lat,Ve,sVe,Vn,sVn,Vu,sVu,ClusterLabelK11,Ve_wrt_S01R,Vn_wrt_S01R
SAND,120.64064,22.71727,-26.4 ,0.4 ,-11.2 ,0.4 ,4.1 ,1.9 ,6,-57.9 ,0.7 
SANI,120.76873,24.41435,29.2 ,0.5 ,-8.3 ,0.4 ,-15.1 ,7.4 ,7,-2.3 ,3.6 
SANJ,121.50087,25.26079,32.1 ,0.3 ,-10.5 ,0.3 ,-2.6 ,1.9 ,7,0.6 ,1.4 
SANL,120.76855,23.66448,8.2 ,0.4 ,-0.6 ,0.4 ,2.1 ,1.4 ,8,-23.3 ,11.3 
SCHN,121.65159,24.12779,18.5 ,0.8 ,-7.4 ,0.6 ,-0.8 ,3.7 ,7,-13.0 ,4.5 
SFON,121.01016,24.93289,31.1 ,0.4 ,-10.9 ,0.3 ,-3.7 ,1.6 ,7,-0.4 ,1.0 
SGAN,120.34965,22.58127,-14.6 ,0.4 ,-31.2 ,0.4 ,-1.3 ,1.7 ,5,-46.1 ,-19.3 
SGUN,120.69188,24.27163,27.9 ,0.3 ,-10.0 ,0.2 ,-3.2 ,1.4 ,7,-3.6 ,1.9 
SHAN,121.19949,23.10886,1.9 ,0.5 ,6.5 ,0.3 ,-7.2 ,2.3 ,10,-29.6 ,18.4 
SHUL,121.56273,23.78761,2.8 ,0.5 ,20.4 ,0.4 ,-10.6 ,2.1 ,10,-28.7 ,32.3 
SHWA,120.34781,23.02143,11.0 ,0.5 ,-15.7 ,0.2 ,3.6 ,1.3 ,8,-20.5 ,-3.8 
SILN,120.64604,23.16038,-3.6 ,1.4 ,-9.3 ,1.0 ,9.6 ,7.0 ,8,-35.1 ,2.6 
SINL,121.25462,22.90829,-18.7 ,0.5 ,30.2 ,0.3 ,1.0 ,1.8 ,4,-50.2 ,42.1 
SJPU,120.48126,23.42854,19.8 ,0.3 ,-8.5 ,0.3 ,-0.4 ,2.0 ,7,-11.7 ,3.4 
SLIN,121.4414,23.81185,9.2 ,0.7 ,3.6 ,0.9 ,4.4 ,3.9 ,8,-22.3 ,15.5 
SLNP,121.63563,24.75311,35.6 ,0.3 ,-11.2 ,0.3 ,-2.7 ,1.4 ,7,4.1 ,0.7 
SONA,120.98584,24.39781,23.8 ,0.4 ,-4.2 ,0.3 ,0.6 ,1.7 ,7,-7.7 ,7.7 
SPAO,121.48486,24.20501,23.7 ,0.6 ,-2.6 ,0.4 ,10.2 ,2.5 ,7,-7.8 ,9.3 
SSUN,120.37777,23.41415,22.8 ,0.3 ,-9.7 ,0.3 ,-1.6 ,1.3 ,7,-8.7 ,2.2 
STA1,120.97926,24.6356,30.0 ,0.5 ,-7.6 ,0.5 ,3.1 ,3.0 ,7,-1.5 ,4.3 
SUAB,121.8679,24.59391,51.4 ,1.0 ,-37.1 ,1.7 ,-4.4 ,4.8 ,1,19.9 ,-25.2 
SUAN,120.29988,23.47757,27.7 ,0.4 ,-11.0 ,0.3 ,-6.0 ,3.2 ,7,-3.8 ,0.9 
SUAO,121.86707,24.59239,51.4 ,0.4 ,-36.4 ,0.6 ,-4.6 ,1.7 ,1,19.9 ,-24.5 
SUCH,120.90758,24.29107,24.8 ,0.7 ,-10.2 ,0.9 ,8.4 ,4.1 ,7,-6.7 ,1.7 
SUN1,120.90835,23.88124,10.0 ,0.3 ,-0.3 ,0.2 ,2.4 ,1.5 ,8,-21.5 ,11.6 
TAIP,121.67317,25.03452,34.9 ,0.4 ,-10.6 ,0.3 ,-2.7 ,1.7 ,7,3.4 ,1.3 
TANS,121.42689,25.1815,33.3 ,1.9 ,-14.4 ,1.2 ,4.5 ,4.4 ,7,1.8 ,-2.5 
TAPE,121.23087,23.12557,-4.7 ,0.5 ,8.1 ,0.3 ,-10.8 ,1.7 ,10,-36.2 ,20.0 
TAPO,121.23741,23.12706,-15.1 ,0.6 ,29.3 ,0.3 ,10.8 ,2.0 ,4,-46.6 ,41.2 
TAPU,120.58541,23.2508,1.3 ,0.4 ,-4.9 ,0.4 ,5.4 ,1.7 ,8,-30.2 ,7.0 
TATA,120.88705,23.4814,-10.9 ,0.6 ,2.4 ,0.5 ,2.8 ,2.5 ,10,-42.4 ,14.3 
TEGS,120.65498,24.35621,29.6 ,0.2 ,-10.4 ,0.2 ,0.4 ,1.3 ,7,-1.9 ,1.5 
TENC,120.91567,23.27779,9.7 ,2.0 ,-5.7 ,0.7 ,-1.3 ,3.5 ,8,-21.8 ,6.2 
THAI,121.29559,24.60712,30.4 ,0.5 ,-2.9 ,0.3 ,2.8 ,1.5 ,7,-1.1 ,9.0 
TMAL,120.95987,22.64892,-2.5 ,0.7 ,-0.5 ,0.6 ,0.7 ,2.1 ,10,-34.0 ,11.4 
TOFN,120.9248,24.66204,29.3 ,0.3 ,-8.5 ,0.2 ,0.4 ,1.4 ,7,-2.2 ,3.4 
TSHI,121.63276,25.25691,33.3 ,0.4 ,-10.1 ,0.3 ,-1.2 ,2.0 ,7,1.8 ,1.8 
TSIO,120.7041,24.47279,29.7 ,0.3 ,-10.1 ,0.2 ,0.7 ,1.4 ,7,-1.8 ,1.8 
TSLN,120.71938,23.63432,11.6 ,0.4 ,-4.7 ,0.5 ,5.3 ,2.1 ,8,-19.9 ,7.2 
TTSH,121.14762,22.74713,-12.6 ,0.5 ,1.4 ,0.4 ,-5.7 ,2.9 ,10,-44.1 ,13.3 
TTUN,121.0807,22.76455,-10.8 ,0.4 ,0.5 ,0.5 ,-4.1 ,1.8 ,10,-42.3 ,12.4 
TUCN,121.49613,24.57484,38.4 ,0.6 ,-3.4 ,0.4 ,10.5 ,3.2 ,7,6.9 ,8.5 
TUNH,121.30022,23.07516,-13.1 ,0.7 ,28.3 ,0.4 ,0.5 ,1.9 ,4,-44.6 ,40.2 
TUNM,121.49358,23.96521,11.5 ,0.8 ,3.3 ,0.5 ,-0.7 ,3.3 ,8,-20.0 ,15.2 
TUNS,120.40404,23.31724,23.6 ,0.3 ,-9.6 ,0.3 ,-5.8 ,1.6 ,7,-7.9 ,2.3 
W021,120.54951,23.53568,19.0 ,1.1 ,-7.3 ,0.9 ,-0.1 ,6.9 ,7,-12.5 ,4.6 
W029,120.66425,23.54079,12.9 ,0.8 ,-7.6 ,0.4 ,0.9 ,2.5 ,8,-18.6 ,4.3 
WANC,120.52633,23.18684,-0.3 ,0.4 ,-6.3 ,0.4 ,4.5 ,1.9 ,8,-31.8 ,5.6 
WANL,121.63756,25.16938,35.1 ,0.4 ,-10.7 ,0.3 ,-1.4 ,1.9 ,7,3.6 ,1.2 
WANS,120.88519,23.6075,1.3 ,0.4 ,0.9 ,0.3 ,8.2 ,1.7 ,10,-30.2 ,12.8 
WDAN,120.50431,22.60606,-20.9 ,0.6 ,-14.5 ,0.3 ,-3.1 ,1.8 ,6,-52.4 ,-2.6 
WFEN,120.69947,24.04194,25.1 ,0.3 ,-8.8 ,0.2 ,-3.3 ,1.2 ,7,-6.4 ,3.1 
WIPN,121.05855,24.67463,29.0 ,0.4 ,-6.3 ,0.4 ,0.4 ,2.2 ,7,-2.5 ,5.6 
WUFN,120.69939,24.04278,25.0 ,0.3 ,-9.1 ,0.2 ,-3.3 ,1.3 ,7,-6.5 ,2.8 
WUKU,121.40066,25.11728,32.8 ,0.3 ,-9.6 ,0.3 ,-1.9 ,1.5 ,7,1.3 ,2.3 
WUST,120.36817,23.20524,20.5 ,0.5 ,-10.7 ,0.3 ,1.6 ,1.3 ,7,-11.0 ,1.2 
YAME,121.18529,24.90845,31.3 ,0.3 ,-8.5 ,0.2 ,1.4 ,1.4 ,7,-0.2 ,3.4 
YENC,120.37615,22.76351,-23.1 ,1.4 ,-22.3 ,1.1 ,-0.7 ,7.7 ,6,-54.6 ,-10.4 
YENL,121.60184,23.9035,6.2 ,0.5 ,15.6 ,0.8 ,-7.6 ,1.9 ,10,-25.3 ,27.5 
YM01,121.53954,25.17888,33.9 ,0.7 ,-10.3 ,0.5 ,-2.3 ,3.8 ,7,2.4 ,1.6 
YM02,121.56069,25.14838,34.7 ,0.5 ,-11.7 ,0.5 ,6.4 ,3.7 ,7,3.2 ,0.2 
YM03,121.6049,25.14661,35.0 ,0.5 ,-11.3 ,0.4 ,-2.8 ,2.0 ,7,3.5 ,0.6 
YM04,121.58547,25.1876,32.3 ,1.3 ,-13.3 ,2.0 ,5.8 ,9.1 ,7,0.8 ,-1.4 
YM05,121.56548,25.164,34.8 ,0.6 ,-10.7 ,0.4 ,-2.4 ,1.8 ,7,3.3 ,1.2 
YNTS,121.77893,24.86174,35.8 ,0.4 ,-11.1 ,0.4 ,0.3 ,1.8 ,7,4.3 ,0.8 
YSAN,120.08598,23.14655,31.7 ,0.3 ,-13.3 ,0.2 ,-5.6 ,1.4 ,7,0.2 ,-1.4 
YUL1,121.30021,23.32138,3.5 ,1.8 ,10.5 ,1.1 ,-15.6 ,8.7 ,10,-28.0 ,22.4 
YULI,121.30113,23.34093,0.1 ,1.5 ,13.4 ,2.4 ,-11.8 ,9.0 ,10,-31.4 ,25.3 
YUNL,120.79857,23.88388,12.7 ,0.5 ,-2.9 ,0.3 ,5.1 ,2.4 ,8,-18.8 ,9.0 
YUSN,120.95914,23.4873,-6.8 ,1.7 ,-3.4 ,0.4 ,-2.5 ,2.6 ,10,-38.3 ,8.5 
ZEND,120.21756,22.94327,18.1 ,0.4 ,-13.5 ,0.4 ,4.6 ,2.9 ,7,-13.4 ,-1.6 
ZWEN,120.49734,23.21974,6.6 ,0.3 ,-11.6 ,0.3 ,9.8 ,1.5 ,8,-24.9 ,0.3 
